,n,m,number of components,cluser,connected flag,date
0,36,426,1,0.8557868326969261,True,2018-02-04
0,19,151,1,0.9499570003439971,True,2016-02-21
0,23,220,1,0.9290481638879811,True,2017-05-14
0,16,84,2,0.8910256410256411,False,2014-11-16
0,38,612,1,0.9430541667739561,True,2018-07-22
0,13,78,1,1.0,True,2014-08-03
0,27,266,2,0.8913134849000302,False,2017-10-08
0,18,146,1,0.9620642701525056,True,2015-11-01
0,38,664,1,0.9792735312478399,True,2018-10-28
0,29,297,2,0.8722296985014852,False,2017-11-26
0,37,517,1,0.8830150974552835,True,2018-04-08
0,6,15,1,1.0,True,2013-09-22
0,37,437,2,0.8391672147627212,False,2018-02-11
0,13,78,1,1.0,True,2014-07-27
0,21,177,1,0.9658328828607468,True,2016-09-18
0,5,10,1,1.0,True,2013-07-28
0,24,227,1,0.8961180771686897,True,2017-07-02
0,13,78,1,1.0,True,2014-07-20
0,4,4,1,0.5833333333333333,True,2013-03-03
0,18,128,1,0.9068910573812536,True,2015-08-30
0,17,89,1,0.8702865761689292,True,2015-01-18
0,19,152,1,0.9546869625043,True,2016-07-24
0,38,602,1,0.9202892754843968,True,2018-07-01
0,5,8,1,0.8666666666666666,True,2013-04-21
0,38,665,1,0.980708315340169,True,2018-11-25
0,19,150,1,0.9460010319917442,True,2015-11-22
0,22,190,1,0.9371866609482707,True,2017-02-12
0,6,15,1,1.0,True,2013-10-06
0,20,155,1,0.944205366357069,True,2016-07-31
0,5,10,1,1.0,True,2013-06-30
0,20,155,1,0.944205366357069,True,2016-08-07
0,29,286,2,0.8734350105791475,False,2017-11-05
0,6,15,1,1.0,True,2013-09-01
0,6,15,1,1.0,True,2013-10-13
0,18,126,1,0.8990373642334428,True,2015-05-10
0,18,126,1,0.8990373642334428,True,2015-06-28
0,18,126,1,0.8990373642334428,True,2015-05-17
0,16,81,2,0.8477564102564104,False,2014-11-02
0,22,191,1,0.9437761069340017,True,2017-03-19
0,36,410,1,0.8536577838632209,True,2018-01-28
0,23,219,1,0.9290828355473665,True,2017-05-07
0,12,66,1,1.0,True,2014-05-25
0,19,150,1,0.9460010319917442,True,2015-11-15
0,14,78,2,0.9285714285714286,False,2014-08-17
0,14,78,2,0.9285714285714286,False,2014-08-10
0,6,15,1,1.0,True,2013-08-18
0,17,85,2,0.8295625942684767,False,2014-12-28
0,38,616,1,0.943960691295406,True,2018-08-12
0,13,78,1,1.0,True,2014-06-08
0,37,592,1,0.9358326035557272,True,2018-05-20
0,26,244,1,0.8788767873057094,True,2017-08-27
0,37,594,1,0.9384944745598741,True,2018-05-27
0,24,227,1,0.8961180771686897,True,2017-07-16
0,22,189,1,0.9396847734309034,True,2017-01-08
0,26,244,1,0.8788767873057094,True,2017-08-20
0,18,128,1,0.9068910573812536,True,2015-08-23
0,4,4,1,0.5833333333333333,True,2013-03-17
0,38,611,1,0.9434412715921756,True,2018-07-15
0,4,4,1,0.5833333333333333,True,2013-03-10
0,18,127,1,0.9014037342468717,True,2015-07-12
0,8,22,1,0.8392857142857143,True,2014-02-23
0,17,98,1,0.8453350570997631,True,2015-03-08
0,4,4,1,0.5833333333333333,True,2013-01-13
0,38,666,1,0.9819223726687772,True,2018-12-09
0,22,188,1,0.9405012084578648,True,2016-11-13
0,18,146,1,0.9620642701525056,True,2015-10-18
0,5,10,1,1.0,True,2013-06-23
0,20,160,1,0.968403852769178,True,2016-08-14
0,6,15,1,1.0,True,2013-09-15
0,22,188,1,0.9405012084578648,True,2016-11-06
0,19,152,1,0.9546869625043,True,2016-06-19
0,4,4,1,0.5833333333333333,True,2013-01-06
0,18,125,1,0.8955141263964792,True,2015-05-03
0,19,151,1,0.9499570003439971,True,2016-04-17
0,33,328,2,0.8542344223462137,False,2017-12-24
0,22,184,1,0.9464110365039157,True,2016-10-30
0,35,380,1,0.854047297500959,True,2018-01-14
0,19,150,1,0.9460010319917442,True,2016-01-31
0,23,220,1,0.9290481638879811,True,2017-06-04
0,19,151,1,0.9499570003439971,True,2016-04-10
0,19,150,1,0.9460010319917442,True,2015-11-29
0,22,190,1,0.9371866609482707,True,2017-02-19
0,21,177,1,0.9658328828607468,True,2016-09-25
0,38,666,1,0.9819223726687772,True,2018-12-16
0,16,81,2,0.8477564102564104,False,2014-10-05
0,23,220,1,0.9290481638879811,True,2017-06-11
0,19,150,1,0.9460010319917442,True,2016-01-24
0,6,15,1,1.0,True,2013-11-24
0,34,345,2,0.8436944648900537,False,2017-12-31
0,17,85,2,0.8295625942684767,False,2014-12-14
0,38,664,1,0.9792735312478399,True,2018-10-07
0,5,10,1,1.0,True,2013-07-07
0,19,151,1,0.9499570003439971,True,2016-03-27
0,37,601,1,0.9464721491049762,True,2018-06-24
0,19,151,1,0.9499570003439971,True,2016-03-20
0,17,97,1,0.8449903038138333,True,2015-02-08
0,12,38,1,0.8405423280423281,True,2014-03-23
0,38,615,1,0.9426152465401444,True,2018-07-29
0,19,152,1,0.9546869625043,True,2016-05-08
0,22,192,1,0.9433621933621933,True,2017-04-23
0,4,4,1,0.5833333333333333,True,2013-02-17
0,38,663,1,0.9781557205518553,True,2018-09-23
0,16,81,2,0.8477564102564104,False,2014-10-26
0,38,668,1,0.9848347729783119,True,2019-01-20
0,12,54,1,0.9312289562289563,True,2014-04-06
0,4,4,1,0.5833333333333333,True,2013-02-10
0,17,91,1,0.8657616892911011,True,2015-01-25
0,16,81,2,0.8477564102564104,False,2014-09-21
0,20,160,1,0.968403852769178,True,2016-08-28
0,6,15,1,1.0,True,2013-09-29
0,26,244,1,0.8788767873057094,True,2017-09-03
0,18,126,1,0.8990373642334428,True,2015-06-07
0,12,63,1,0.9599326599326599,True,2014-04-13
0,19,150,1,0.9460010319917442,True,2015-12-27
0,24,227,1,0.8961180771686897,True,2017-07-09
0,19,150,1,0.9460010319917442,True,2015-12-20
0,38,665,1,0.980708315340169,True,2018-11-18
0,22,183,1,0.948167209467519,True,2016-10-23
0,19,151,1,0.9499570003439971,True,2016-04-03
0,23,220,1,0.9290481638879811,True,2017-05-28
0,34,355,2,0.8425538073057772,False,2018-01-07
0,18,128,1,0.9068910573812536,True,2015-07-19
0,5,8,1,0.8666666666666666,True,2013-05-05
0,18,125,1,0.8955141263964792,True,2015-04-26
0,37,473,2,0.8503622201333246,False,2018-03-04
0,18,141,1,0.9355172877231701,True,2015-09-13
0,38,665,1,0.980708315340169,True,2018-12-02
0,12,66,1,1.0,True,2014-05-18
0,38,664,1,0.9792735312478399,True,2018-10-14
0,16,85,1,0.8814102564102565,True,2014-12-07
0,6,15,1,1.0,True,2013-12-08
0,18,141,1,0.9355172877231701,True,2015-09-06
0,6,15,1,1.0,True,2013-08-25
0,19,152,1,0.9546869625043,True,2016-06-12
0,7,21,1,1.0,True,2014-01-05
0,37,489,1,0.8648529630848609,True,2018-03-11
0,5,10,1,1.0,True,2013-07-14
0,16,82,2,0.9022435897435899,False,2014-11-09
0,12,43,1,0.8683201058201059,True,2014-03-30
0,18,125,1,0.8955141263964792,True,2015-04-05
0,22,191,1,0.9437761069340017,True,2017-03-12
0,5,10,1,1.0,True,2013-05-26
0,18,146,1,0.9620642701525056,True,2015-10-25
0,38,663,1,0.9781557205518553,True,2018-09-30
0,4,4,1,0.5833333333333333,True,2013-02-03
0,22,189,1,0.9396847734309034,True,2016-12-04
0,23,193,2,0.8995604954415023,False,2017-04-30
0,26,265,1,0.8897414232317987,True,2017-09-10
0,27,265,2,0.8567880371861766,False,2017-09-17
0,38,619,1,0.9465433446711415,True,2018-08-19
0,7,21,1,1.0,True,2014-01-26
0,22,189,1,0.9396847734309034,True,2016-12-11
0,18,126,1,0.8990373642334428,True,2015-06-14
0,38,663,1,0.9781557205518553,True,2018-09-16
0,22,189,1,0.9396847734309034,True,2016-12-25
0,7,21,1,1.0,True,2014-01-12
0,19,152,1,0.9546869625043,True,2016-06-05
0,17,98,1,0.8453350570997631,True,2015-03-01
0,22,192,1,0.9433621933621933,True,2017-04-16
0,18,146,1,0.9620642701525056,True,2015-10-04
0,27,266,2,0.8913134849000302,False,2017-09-24
0,11,31,1,0.8448773448773449,True,2014-03-16
0,22,189,1,0.9396847734309034,True,2017-01-22
0,16,80,3,0.8573717948717949,False,2014-09-14
0,13,78,1,1.0,True,2014-06-22
0,18,146,1,0.9620642701525056,True,2015-10-11
0,5,8,1,0.8666666666666666,True,2013-05-12
0,22,192,1,0.9433621933621933,True,2017-03-26
0,19,152,1,0.9546869625043,True,2016-06-26
0,37,594,1,0.9384944745598741,True,2018-06-03
0,6,11,1,0.7666666666666666,True,2013-08-11
0,38,666,1,0.9819223726687772,True,2018-12-23
0,18,118,1,0.8860473767336513,True,2015-03-22
0,37,511,1,0.8779290585178109,True,2018-03-25
0,8,22,1,0.8392857142857143,True,2014-02-09
0,27,266,2,0.8913134849000302,False,2017-10-15
0,36,390,1,0.8484221599228943,True,2018-01-21
0,6,15,1,1.0,True,2013-11-03
0,21,177,1,0.9658328828607468,True,2016-10-02
0,18,128,1,0.9068910573812536,True,2015-08-09
0,19,150,1,0.9460010319917442,True,2016-01-03
0,18,141,1,0.9355172877231701,True,2015-09-20
0,22,189,1,0.9396847734309034,True,2017-01-01
0,6,11,1,0.7666666666666666,True,2013-08-04
0,18,146,1,0.9620642701525056,True,2015-09-27
0,12,66,1,1.0,True,2014-06-01
0,5,10,1,1.0,True,2013-06-09
0,30,300,3,0.8448924013498653,False,2017-12-03
0,7,21,1,1.0,True,2013-12-29
0,17,85,2,0.8295625942684767,False,2014-12-21
0,22,191,1,0.9437761069340017,True,2017-03-05
0,18,125,1,0.8955141263964792,True,2015-04-12
0,37,524,1,0.8778301023356139,True,2018-04-15
0,38,626,1,0.9511234721405906,True,2018-09-02
0,19,150,1,0.9460010319917442,True,2015-12-13
0,12,63,1,0.9599326599326599,True,2014-04-27
0,28,268,2,0.8895924619067513,False,2017-10-22
0,12,63,1,0.9599326599326599,True,2014-04-20
0,38,667,1,0.9833385887278329,True,2019-01-06
0,19,152,1,0.9546869625043,True,2016-05-29
0,22,192,1,0.9433621933621933,True,2017-04-02
0,17,105,1,0.8882299073475546,True,2015-03-15
0,5,8,1,0.8666666666666666,True,2013-04-28
0,38,606,1,0.9426324676039486,True,2018-07-08
0,17,85,2,0.8295625942684767,False,2015-01-11
0,29,297,2,0.8722296985014852,False,2017-11-19
0,9,24,1,0.8042328042328042,True,2014-03-02
0,38,668,1,0.9848347729783119,True,2019-01-13
0,18,126,1,0.8990373642334428,True,2015-06-21
0,4,4,1,0.5833333333333333,True,2013-02-24
0,16,81,2,0.8477564102564104,False,2014-10-12
0,19,150,1,0.9460010319917442,True,2015-12-06
0,6,15,1,1.0,True,2013-09-08
0,15,80,2,0.9145299145299146,False,2014-09-07
0,37,529,1,0.8785239540206352,True,2018-04-22
0,17,85,2,0.8295625942684767,False,2015-01-04
0,19,151,1,0.9499570003439971,True,2016-03-13
0,37,601,1,0.9464721491049762,True,2018-06-17
0,21,177,1,0.9658328828607468,True,2016-09-04
0,37,594,1,0.9384944745598741,True,2018-06-10
0,38,667,1,0.9833385887278329,True,2018-12-30
0,27,266,2,0.8913134849000302,False,2017-10-01
0,19,146,2,0.9114293085655316,False,2015-11-08
0,6,15,1,1.0,True,2013-11-10
0,19,150,1,0.9460010319917442,True,2016-01-10
0,23,226,1,0.9384185488910218,True,2017-06-25
0,22,183,1,0.948167209467519,True,2016-10-16
0,6,15,1,1.0,True,2013-11-17
0,19,150,1,0.9460010319917442,True,2016-01-17
0,19,151,1,0.9499570003439971,True,2016-02-28
0,22,189,1,0.9396847734309034,True,2017-01-15
0,5,10,1,1.0,True,2013-07-21
0,21,177,1,0.9658328828607468,True,2016-09-11
0,19,151,1,0.9499570003439971,True,2016-03-06
0,37,457,2,0.840563200301169,False,2018-02-18
0,13,78,1,1.0,True,2014-06-15
0,32,323,2,0.8522683817676052,False,2017-12-17
0,19,151,1,0.9499570003439971,True,2016-04-24
0,37,512,1,0.8784738055457664,True,2018-04-01
0,38,664,1,0.9792735312478399,True,2018-10-21
0,32,314,2,0.857463400949807,False,2017-12-10
0,19,152,1,0.9546869625043,True,2016-05-15
0,8,22,1,0.8392857142857143,True,2014-02-02
0,18,125,1,0.8955141263964792,True,2015-03-29
0,5,5,2,0.6666666666666666,False,2013-04-14
0,4,5,1,0.8333333333333333,True,2013-03-31
0,18,128,1,0.9068910573812536,True,2015-08-02
0,22,183,1,0.948167209467519,True,2016-10-09
0,38,615,1,0.9426152465401444,True,2018-08-05
0,17,97,1,0.8449903038138333,True,2015-02-15
0,22,188,1,0.9405012084578648,True,2016-11-20
0,4,4,1,0.5833333333333333,True,2013-01-20
0,22,189,1,0.9396847734309034,True,2016-11-27
0,22,189,1,0.9396847734309034,True,2016-12-18
0,4,4,1,0.5833333333333333,True,2013-01-27
0,5,10,1,1.0,True,2013-06-02
0,19,152,1,0.9546869625043,True,2016-07-03
0,7,21,1,1.0,True,2013-12-22
0,18,128,1,0.9068910573812536,True,2015-07-26
0,18,125,1,0.8955141263964792,True,2015-04-19
0,4,5,1,0.8333333333333333,True,2013-03-24
0,14,78,2,0.9285714285714286,False,2014-08-31
0,26,244,1,0.8788767873057094,True,2017-08-13
0,7,21,1,1.0,True,2014-01-19
0,37,590,1,0.9359207785293957,True,2018-05-13
0,12,63,1,0.9599326599326599,True,2014-05-04
0,23,220,1,0.9290481638879811,True,2017-05-21
0,19,151,1,0.9499570003439971,True,2016-02-14
0,16,84,2,0.8910256410256411,False,2014-11-23
0,38,622,1,0.9478752372570662,True,2018-08-26
0,37,502,1,0.8744969308586082,True,2018-03-18
0,22,189,1,0.9396847734309034,True,2017-01-29
0,37,538,1,0.8839444365471673,True,2018-05-06
0,25,230,1,0.8920723377070128,True,2017-07-30
0,25,240,1,0.8830472040933744,True,2017-08-06
0,14,78,2,0.9285714285714286,False,2014-08-24
0,6,15,1,1.0,True,2013-12-01
0,13,78,1,1.0,True,2014-06-29
0,18,127,1,0.9014037342468717,True,2015-07-05
0,12,66,1,1.0,True,2014-05-11
0,5,10,1,1.0,True,2013-05-19
0,4,5,1,0.8333333333333333,True,2013-04-07
0,18,126,1,0.8990373642334428,True,2015-05-24
0,6,15,1,1.0,True,2013-10-27
0,8,22,1,0.8392857142857143,True,2014-02-16
0,19,151,1,0.9499570003439971,True,2016-05-01
0,38,664,1,0.9792735312478399,True,2018-11-04
0,6,15,1,1.0,True,2013-10-20
0,18,128,1,0.9068910573812536,True,2015-08-16
0,17,93,1,0.8597716009480716,True,2015-02-01
0,38,665,1,0.980708315340169,True,2018-11-11
0,18,126,1,0.8990373642334428,True,2015-05-31
0,22,190,1,0.9371866609482707,True,2017-02-26
0,19,152,1,0.9546869625043,True,2016-07-17
0,5,10,1,1.0,True,2013-06-16
0,16,81,2,0.8477564102564104,False,2014-09-28
0,20,160,1,0.968403852769178,True,2016-08-21
0,19,152,1,0.9546869625043,True,2016-07-10
0,38,628,1,0.9525614920303141,True,2018-09-09
0,13,78,1,1.0,True,2014-07-13
0,29,286,2,0.8734350105791475,False,2017-10-29
0,22,192,1,0.9433621933621933,True,2017-04-09
0,19,152,1,0.9546869625043,True,2016-05-22
0,19,151,1,0.9499570003439971,True,2016-02-07
0,29,288,2,0.8778085331515273,False,2017-11-12
0,16,85,1,0.8814102564102565,True,2014-11-30
0,37,469,2,0.8464882317763005,False,2018-02-25
0,9,25,1,0.8941798941798942,True,2014-03-09
0,17,98,1,0.8453350570997631,True,2015-02-22
0,24,227,1,0.8961180771686897,True,2017-07-23
0,22,189,1,0.9396847734309034,True,2017-02-05
0,13,78,1,1.0,True,2014-07-06
0,16,81,2,0.8477564102564104,False,2014-10-19
0,7,17,1,0.9238095238095239,True,2013-12-15
0,23,226,1,0.9384185488910218,True,2017-06-18
0,37,531,1,0.8777443039455118,True,2018-04-29
